コード,就業・就学状況
1,住宅・寮
2,学校・幼稚園・保育所・教育施設
3,文化・宗教施設
4,医療・福祉・厚生施設
5,事務所・会社・銀行
6,官公庁
7,問屋・卸売施設
8,商業施設・商店
9,飲食店
10,宿泊・娯楽施設
11,工場・倉庫・作業所
12,交通・運輸施設
13,農林漁業作業地・施設
14,その他施設
99,未記入
